Timestamp,Team 1 Score,Team 2 Score,Timer Reading
2025-05-18 15:06:02,,,
2025-05-18 15:06:04,,6,
2025-05-18 15:06:05,,,
2025-05-18 15:06:07,,,
2025-05-18 15:06:08,0,0,
2025-05-18 15:06:09,0,0,459
2025-05-18 15:06:11,0,0,457
2025-05-18 15:06:12,0,0,456
2025-05-18 15:06:13,0,0,455
2025-05-18 15:06:15,0,0,453
2025-05-18 15:06:16,0,0,452
2025-05-18 15:06:17,0,0,451
2025-05-18 15:06:19,0,0,449
2025-05-18 15:06:20,0,0,448
2025-05-18 15:06:21,1,0,448
2025-05-18 15:06:23,1,0,447
2025-05-18 15:06:24,1,1,446
2025-05-18 15:06:25,1,1,445
2025-05-18 15:06:27,1,1,444
2025-05-18 15:06:28,1,2,444
2025-05-18 15:06:29,1,4,444
2025-05-18 15:06:31,1,5,444
2025-05-18 15:06:32,1,6,443
2025-05-18 15:06:33,1,6,442
2025-05-18 15:06:35,1,6,441
2025-05-18 15:06:36,1,6,440
2025-05-18 15:06:38,1,,440
2025-05-18 15:06:39,1,9,440
2025-05-18 15:06:40,1,10,440
2025-05-18 15:06:42,1,10,438
2025-05-18 15:06:43,1,10,437
2025-05-18 15:06:44,1,10,436
2025-05-18 15:06:46,2,10,436
2025-05-18 15:06:47,2,10,434
2025-05-18 15:06:48,2,10,433
2025-05-18 15:06:50,2,10,432
2025-05-18 15:06:51,2,10,430
2025-05-18 15:06:52,2,10,429
2025-05-18 15:06:54,2,10,428
2025-05-18 15:06:55,2,10,426
2025-05-18 15:06:57,2,10,425
2025-05-18 15:06:58,2,10,424
2025-05-18 15:06:59,2,10,423
2025-05-18 15:07:01,2,11,423
2025-05-18 15:07:02,2,12,422
2025-05-18 15:07:03,2,12,420
2025-05-18 15:07:05,2,12,419
2025-05-18 15:07:06,2,12,418
2025-05-18 15:07:07,2,12,416
2025-05-18 15:07:09,2,12,415
2025-05-18 15:07:10,2,12,414
2025-05-18 15:07:11,2,13,414
2025-05-18 15:07:13,2,15,414
2025-05-18 15:07:14,2,16,414
2025-05-18 15:07:16,2,17,414
2025-05-18 15:07:17,2,19,414
2025-05-18 15:07:18,2,20,414
